Construction Type,Building Area (sq ft),Number of Floors,Number of Rooms,Number of Bathrooms,Flooring Type,Ceiling Height,Roof Type,Foundation Type,Company,Labor Charges,Bid Amount,Project Duration (Months)
Industrial,2423,5,3,1,Tile,10,Gabled,Slab,Company C,43287,185392,25
Industrial,1799,9,8,3,Wood,12,Flat,Basement,Company C,21447,391084,23
Industrial,2648,8,6,2,Carpet,12,Flat,Crawl Space,Company C,26691,378863,19
Residential,2361,6,6,1,Wood,13,Flat,Basement,Company D,41033,213530,31
Industrial,1573,9,11,3,Carpet,10,Pitched,Slab,Company C,28577,143378,30
Residential,2603,2,14,4,Tile,13,Flat,Slab,Company D,38961,362731,16
Commercial,1898,9,3,2,Wood,11,Flat,Crawl Space,Company D,10506,276367,7
Industrial,2850,6,6,1,Carpet,12,Pitched,Crawl Space,Company D,23207,434448,20
Commercial,2398,9,11,4,Carpet,10,Gabled,Slab,Company D,49741,361838,7
Commercial,1547,4,13,2,Wood,10,Flat,Basement,Company C,13388,133574,34
Industrial,4773,5,8,2,Wood,11,Gabled,Crawl Space,Company C,21407,311218,18
Residential,3122,2,13,4,Tile,13,Gabled,Crawl Space,Company A,21960,213876,30
Industrial,2353,3,7,1,Tile,14,Pitched,Basement,Company C,9886,281052,27
Commercial,2415,1,10,1,Wood,10,Gabled,Basement,Company D,13783,154367,16
Commercial,4554,4,10,4,Tile,8,Gabled,Basement,Company B,23439,376024,26
Industrial,3102,2,7,4,Tile,9,Pitched,Slab,Company D,27072,441038,32
Residential,4455,2,3,4,Tile,12,Gabled,Slab,Company B,34707,250350,20
Residential,4195,1,10,3,Tile,11,Flat,Basement,Company D,8143,316223,11
Commercial,1016,2,14,2,Wood,11,Pitched,Crawl Space,Company B,34858,308384,20
Commercial,4116,4,3,1,Wood,9,Pitched,Crawl Space,Company B,23981,322926,30
Residential,2159,6,5,1,Carpet,8,Pitched,Slab,Company A,41116,290498,33
Industrial,4574,7,12,4,Tile,9,Flat,Slab,Company B,10009,428403,21
Commercial,2696,7,5,2,Wood,10,Gabled,Crawl Space,Company A,33153,104766,6
Residential,1699,7,9,4,Carpet,14,Gabled,Slab,Company D,13057,455219,28
Commercial,1441,4,13,2,Tile,13,Gabled,Slab,Company D,13857,251342,13
Industrial,4427,5,9,4,Carpet,11,Flat,Crawl Space,Company B,29083,475847,25
Residential,995,3,10,4,Tile,13,Gabled,Basement,Company D,30368,156653,34
Commercial,2693,1,5,2,Wood,13,Gabled,Crawl Space,Company C,18790,151960,13
Industrial,4075,8,12,1,Carpet,13,Flat,Slab,Company C,32857,430722,15
Commercial,4850,7,14,1,Wood,14,Flat,Basement,Company C,48471,446493,6
Industrial,3104,9,5,3,Tile,13,Gabled,Basement,Company D,23676,142184,16
Industrial,4400,4,6,2,Tile,10,Flat,Crawl Space,Company C,48436,480023,13
Residential,4143,5,13,1,Tile,14,Flat,Basement,Company A,45183,148371,20
Industrial,2856,5,13,1,Carpet,11,Flat,Basement,Company D,34625,153897,24
Commercial,3608,7,8,2,Carpet,13,Pitched,Crawl Space,Company C,7026,152991,36
Industrial,2024,9,6,1,Carpet,11,Pitched,Basement,Company D,29623,271124,19
Industrial,1686,8,14,2,Wood,14,Gabled,Basement,Company C,31637,308385,9
Residential,1192,7,11,1,Carpet,13,Gabled,Crawl Space,Company A,24568,125425,13
Industrial,2475,1,13,4,Tile,10,Flat,Crawl Space,Company B,26788,260138,29
Industrial,3990,6,13,2,Wood,9,Gabled,Slab,Company A,22494,299012,32
Commercial,3246,9,12,2,Tile,13,Pitched,Slab,Company B,38262,202391,34
Residential,4705,7,14,1,Tile,12,Gabled,Crawl Space,Company C,20081,400924,17
Residential,4138,1,6,2,Carpet,12,Gabled,Slab,Company A,47608,422912,23
Residential,4391,9,9,3,Carpet,9,Pitched,Crawl Space,Company B,8297,400606,14
Industrial,4566,3,1,3,Carpet,8,Pitched,Slab,Company A,49214,281283,9
Residential,3327,9,14,2,Tile,14,Flat,Slab,Company D,31540,167512,36
Industrial,2981,4,4,3,Wood,9,Flat,Basement,Company B,49124,424055,11
Industrial,4564,9,10,1,Carpet,9,Flat,Slab,Company C,47689,374869,19
Commercial,1154,8,13,1,Carpet,9,Gabled,Basement,Company D,11609,371934,18
Commercial,3431,7,10,2,Wood,12,Gabled,Slab,Company C,44017,267637,13
Commercial,2321,4,12,1,Tile,11,Gabled,Basement,Company C,16875,149838,25
Commercial,3472,9,2,1,Tile,8,Pitched,Slab,Company D,46655,396466,29
Commercial,3978,4,9,3,Wood,14,Gabled,Slab,Company B,25192,428609,34
Industrial,3137,1,3,1,Carpet,8,Pitched,Basement,Company D,16646,369078,12
Industrial,1428,6,10,1,Wood,8,Gabled,Basement,Company C,19537,409357,19
Residential,3479,4,11,3,Carpet,10,Gabled,Crawl Space,Company A,24086,388217,13
Industrial,2238,3,2,4,Wood,13,Pitched,Crawl Space,Company B,40261,255221,17
Industrial,2221,5,8,2,Tile,9,Pitched,Basement,Company A,39059,492642,25
Commercial,1926,3,4,2,Tile,11,Pitched,Slab,Company B,17546,224931,36
Industrial,3483,9,11,4,Tile,11,Flat,Crawl Space,Company B,38021,396032,7
Commercial,2580,6,2,3,Tile,10,Flat,Crawl Space,Company A,21259,205555,9
Residential,2331,3,4,3,Wood,12,Gabled,Crawl Space,Company C,21813,259473,26
Residential,2714,5,7,1,Wood,10,Gabled,Crawl Space,Company D,22961,111391,9
Industrial,2032,8,14,1,Carpet,10,Gabled,Crawl Space,Company A,26193,351999,16
Residential,2756,8,7,2,Wood,9,Flat,Basement,Company C,44966,166228,29
Industrial,1192,6,1,2,Carpet,12,Gabled,Crawl Space,Company A,30764,219919,15
Residential,1625,5,13,3,Wood,13,Pitched,Basement,Company D,42642,271918,10
Commercial,3763,5,12,1,Wood,13,Pitched,Basement,Company D,8772,179320,14
Commercial,3195,1,12,3,Wood,10,Flat,Slab,Company B,34613,412952,12
Commercial,4945,2,1,4,Wood,13,Pitched,Crawl Space,Company A,13261,246704,28
Commercial,2592,4,3,2,Tile,11,Pitched,Crawl Space,Company A,34930,456769,35
Industrial,3864,6,2,2,Wood,9,Gabled,Slab,Company B,40114,428096,17
Residential,2163,7,3,3,Carpet,13,Pitched,Crawl Space,Company C,31513,416941,36
Industrial,3148,1,4,1,Tile,12,Pitched,Crawl Space,Company C,42681,389901,10
Commercial,4351,8,14,1,Wood,11,Flat,Basement,Company B,8333,178129,8
Industrial,4428,1,7,4,Wood,8,Pitched,Basement,Company C,39814,359541,13
Residential,4136,9,2,4,Carpet,9,Pitched,Slab,Company C,48148,443061,25
Industrial,2365,4,7,4,Tile,11,Gabled,Basement,Company C,22637,380914,8
Residential,4467,7,5,3,Tile,10,Gabled,Crawl Space,Company B,9875,380323,9
Industrial,3013,6,8,2,Tile,10,Gabled,Crawl Space,Company D,20622,249292,17
Residential,4896,9,8,3,Tile,9,Flat,Slab,Company B,19989,217875,35
Residential,1819,2,5,3,Carpet,12,Gabled,Crawl Space,Company A,6736,129951,35
Commercial,2084,7,10,1,Wood,14,Pitched,Slab,Company A,34794,475270,6
Residential,862,5,8,4,Wood,10,Flat,Crawl Space,Company A,13494,479721,13
Commercial,3330,7,12,2,Tile,11,Pitched,Slab,Company C,32910,426769,14
Commercial,4192,1,14,4,Carpet,8,Pitched,Crawl Space,Company A,31295,334011,8
Commercial,4072,9,9,4,Wood,12,Gabled,Crawl Space,Company C,10754,445781,31
Industrial,3069,1,7,4,Tile,14,Flat,Crawl Space,Company C,14011,209753,11
Industrial,1443,5,6,2,Tile,9,Flat,Crawl Space,Company C,18197,395674,25
Industrial,1016,8,7,1,Carpet,10,Gabled,Crawl Space,Company A,35496,211524,14
Industrial,995,1,7,2,Carpet,12,Flat,Slab,Company A,13797,416769,7
Residential,4664,7,3,2,Carpet,8,Pitched,Slab,Company A,36061,234026,8
Residential,4073,2,6,1,Tile,12,Flat,Basement,Company C,39625,414511,19
Industrial,3494,7,6,2,Carpet,12,Pitched,Slab,Company C,48996,449670,18
Residential,4012,7,11,2,Tile,9,Flat,Crawl Space,Company D,43551,245613,19
Residential,3555,9,9,3,Wood,14,Flat,Slab,Company D,23655,251803,19
Commercial,2321,6,1,2,Tile,8,Gabled,Crawl Space,Company B,43060,122976,22
Commercial,1880,4,13,3,Tile,8,Gabled,Crawl Space,Company B,13907,174590,20
Commercial,1521,7,7,3,Wood,12,Flat,Basement,Company C,32382,442698,17
Commercial,2362,7,1,3,Carpet,10,Pitched,Slab,Company B,18494,456592,12
Residential,1439,4,10,4,Carpet,12,Gabled,Slab,Company D,28550,107115,14
Industrial,4587,2,13,1,Tile,11,Gabled,Crawl Space,Company D,47438,444143,17
Residential,4536,9,4,4,Tile,10,Gabled,Slab,Company C,12732,414112,35
Residential,889,8,13,1,Wood,9,Flat,Slab,Company B,22345,299926,35
Residential,3721,5,7,2,Carpet,8,Pitched,Slab,Company C,18159,368829,22
Commercial,2051,5,6,3,Wood,13,Pitched,Crawl Space,Company B,43525,160095,32
Commercial,1902,1,6,4,Tile,10,Flat,Slab,Company C,14409,151108,24
Commercial,1148,9,5,2,Tile,9,Pitched,Crawl Space,Company D,5556,219190,12
Industrial,4713,8,11,4,Wood,12,Gabled,Crawl Space,Company A,38151,382138,21
Residential,4852,5,7,2,Wood,9,Pitched,Slab,Company B,20717,216580,8
Industrial,3741,6,9,4,Carpet,11,Gabled,Basement,Company C,16944,337135,24
Commercial,1045,8,14,2,Wood,13,Gabled,Crawl Space,Company D,43032,367931,24
Industrial,1071,6,6,2,Carpet,9,Flat,Slab,Company D,22302,238141,25
Residential,2830,4,10,4,Carpet,13,Gabled,Basement,Company D,28079,372857,36
Residential,3987,3,7,2,Wood,13,Pitched,Crawl Space,Company A,29061,284919,25
Commercial,4306,7,9,3,Wood,10,Pitched,Basement,Company C,45020,110968,13
Commercial,2265,2,7,3,Carpet,14,Pitched,Slab,Company A,48930,263969,10
Industrial,1995,7,6,3,Wood,8,Pitched,Basement,Company C,10002,281500,19
Commercial,3887,1,3,3,Carpet,10,Pitched,Basement,Company D,23141,232166,24
Commercial,3808,5,14,1,Carpet,10,Gabled,Crawl Space,Company C,45638,152591,31
Residential,4623,9,1,4,Tile,8,Flat,Crawl Space,Company D,38619,133878,33
Commercial,2414,1,10,3,Carpet,11,Flat,Slab,Company C,23606,461308,33
Commercial,1926,8,9,3,Tile,10,Pitched,Crawl Space,Company B,36980,177405,26
Residential,1316,9,7,3,Wood,8,Gabled,Basement,Company A,38326,436284,17
Residential,3465,9,3,1,Carpet,8,Flat,Basement,Company A,20469,485950,14
Industrial,2101,8,10,4,Carpet,10,Pitched,Slab,Company A,9581,384529,11
Commercial,1411,4,9,2,Wood,13,Gabled,Crawl Space,Company B,16651,242761,9
Residential,1549,7,3,1,Wood,8,Flat,Crawl Space,Company B,12441,498258,6
Industrial,2656,1,3,3,Wood,13,Gabled,Slab,Company D,33155,321518,29
Industrial,1199,7,13,3,Carpet,12,Pitched,Crawl Space,Company D,32228,388764,10
Commercial,2326,6,14,1,Wood,10,Gabled,Basement,Company A,45867,117935,14
Commercial,2824,5,7,4,Wood,13,Flat,Slab,Company B,25058,214492,35
Industrial,1119,1,2,4,Tile,11,Flat,Crawl Space,Company B,7082,198512,12
Residential,1135,8,10,2,Tile,12,Gabled,Basement,Company A,39807,466776,23
Industrial,2898,1,14,1,Carpet,14,Flat,Slab,Company C,45563,445844,36
Commercial,973,1,7,4,Wood,11,Gabled,Basement,Company D,36803,438516,33
Residential,4819,3,7,1,Wood,13,Gabled,Basement,Company D,21483,244817,7
Residential,2441,8,1,4,Tile,14,Pitched,Crawl Space,Company C,6668,493498,13
Industrial,1300,8,13,4,Carpet,10,Pitched,Basement,Company A,17959,197620,32
Commercial,4446,7,10,3,Wood,9,Gabled,Crawl Space,Company B,36998,191807,10
Industrial,3163,5,11,4,Carpet,8,Flat,Basement,Company D,34420,199791,10
Industrial,2656,8,2,4,Tile,12,Pitched,Crawl Space,Company B,32230,334395,33
Industrial,3952,2,5,1,Wood,10,Flat,Crawl Space,Company A,39855,486939,27
Residential,2696,8,14,4,Tile,8,Gabled,Slab,Company A,20596,417669,12
Residential,2518,2,4,4,Tile,13,Flat,Crawl Space,Company D,42673,208662,17
Commercial,2578,5,14,1,Tile,9,Flat,Basement,Company A,21457,319420,18
Commercial,3857,4,3,4,Wood,11,Gabled,Slab,Company A,44646,405072,9
Industrial,3513,1,10,1,Carpet,10,Pitched,Slab,Company B,48911,289170,14
Industrial,4628,5,14,1,Wood,10,Pitched,Basement,Company C,9954,410435,13
Industrial,1894,7,11,1,Tile,13,Flat,Basement,Company A,48036,372764,19
Commercial,845,1,8,1,Carpet,9,Gabled,Slab,Company D,11989,261910,11
Residential,2245,2,7,3,Tile,14,Gabled,Slab,Company D,40862,379063,6
Residential,2996,9,9,3,Wood,11,Pitched,Crawl Space,Company B,34187,389446,11
Industrial,4001,5,3,3,Carpet,10,Gabled,Slab,Company A,15483,222545,21
Industrial,1255,7,10,3,Wood,13,Gabled,Basement,Company C,17833,117287,22
Industrial,2462,2,1,1,Carpet,14,Flat,Slab,Company A,46576,418939,10
Industrial,3724,7,9,1,Tile,8,Flat,Basement,Company D,47812,194033,18
Commercial,1765,7,9,1,Tile,13,Pitched,Basement,Company B,17446,289906,27
Residential,2328,7,12,1,Tile,9,Pitched,Crawl Space,Company A,8970,436018,23
Industrial,3776,5,12,3,Wood,14,Flat,Crawl Space,Company C,31076,243013,24
Commercial,3871,9,1,4,Wood,10,Gabled,Crawl Space,Company B,39636,219211,33
Industrial,3321,2,14,3,Tile,13,Gabled,Basement,Company B,38434,326585,28
Industrial,1926,4,8,1,Tile,14,Flat,Basement,Company D,45106,103653,26
Residential,4204,2,14,1,Carpet,11,Flat,Basement,Company D,16195,296333,31
Industrial,3143,8,14,4,Carpet,12,Flat,Crawl Space,Company C,37351,419152,36
Residential,906,1,10,1,Wood,10,Flat,Slab,Company D,45749,487353,16
Residential,3377,9,1,4,Carpet,11,Gabled,Slab,Company A,11948,118523,30
Residential,3954,5,6,1,Wood,9,Gabled,Crawl Space,Company A,36974,410507,17
Commercial,4853,3,9,4,Wood,11,Pitched,Crawl Space,Company B,37314,484927,13
Commercial,1014,4,3,2,Carpet,11,Flat,Basement,Company C,18442,419905,18
Residential,1264,1,6,2,Carpet,14,Pitched,Basement,Company D,25940,379724,31
Industrial,3172,3,3,2,Carpet,9,Gabled,Basement,Company B,42770,464836,20
Residential,1391,8,11,2,Tile,12,Pitched,Slab,Company B,31868,392702,30
Industrial,2988,2,14,1,Tile,13,Gabled,Slab,Company C,30919,368549,16
Residential,1683,2,5,1,Carpet,8,Gabled,Crawl Space,Company D,47155,260414,11
Industrial,4958,9,11,1,Tile,12,Pitched,Crawl Space,Company C,6611,466144,23
Commercial,1103,5,14,2,Wood,8,Pitched,Basement,Company C,15806,214791,21
Industrial,1133,5,7,4,Tile,8,Flat,Slab,Company D,49270,473640,32
Residential,3633,1,11,4,Tile,8,Gabled,Slab,Company A,8704,328811,11
Commercial,3131,6,10,2,Tile,10,Flat,Crawl Space,Company B,24862,416649,10
Industrial,879,8,12,1,Wood,12,Flat,Slab,Company B,31303,132511,19
Industrial,4563,6,4,2,Wood,11,Gabled,Basement,Company A,37734,205645,15
Industrial,3631,7,4,3,Carpet,14,Pitched,Slab,Company C,39744,127780,9
Industrial,2777,4,7,4,Tile,10,Flat,Basement,Company A,22396,409284,14
Industrial,1532,2,5,2,Tile,14,Flat,Basement,Company B,31914,402108,7
Commercial,4776,1,1,2,Wood,9,Gabled,Basement,Company D,7693,223440,20
Commercial,2617,6,11,2,Tile,9,Pitched,Basement,Company D,35296,420152,34
Commercial,2184,9,10,2,Wood,8,Pitched,Slab,Company A,8038,362281,18
Commercial,2924,5,13,1,Tile,10,Flat,Slab,Company B,26246,283822,32
Residential,1998,2,12,4,Carpet,13,Gabled,Basement,Company A,34405,246333,24
Commercial,3092,1,13,3,Wood,14,Flat,Crawl Space,Company A,22787,175980,9
Industrial,984,3,2,1,Wood,13,Pitched,Crawl Space,Company B,36554,331610,18
Industrial,4927,4,6,2,Wood,10,Flat,Basement,Company D,9177,497552,12
Commercial,1797,7,13,2,Tile,9,Gabled,Basement,Company B,9084,496854,34
Industrial,2786,9,12,2,Carpet,11,Flat,Crawl Space,Company A,49855,358870,18
Commercial,3609,8,9,2,Wood,12,Pitched,Slab,Company A,28888,181348,6
Industrial,3157,9,7,4,Carpet,12,Gabled,Slab,Company D,5781,337561,14
Residential,2479,7,4,2,Wood,8,Gabled,Crawl Space,Company A,38551,470889,26
Residential,3839,8,12,3,Carpet,14,Gabled,Basement,Company A,28834,154241,21
Commercial,3311,8,12,1,Tile,8,Gabled,Basement,Company D,13612,278142,22
Commercial,4327,1,13,4,Tile,8,Gabled,Slab,Company B,44904,389975,34
Commercial,3826,9,2,2,Carpet,9,Flat,Slab,Company C,32708,115676,29
Industrial,3545,2,4,3,Carpet,9,Gabled,Basement,Company B,9888,300452,24
Commercial,4973,7,14,1,Tile,13,Pitched,Slab,Company C,36921,328236,32
Residential,3381,5,5,1,Carpet,12,Gabled,Crawl Space,Company B,11713,372807,21
Industrial,3611,4,2,4,Carpet,13,Pitched,Crawl Space,Company D,46549,483418,20
Commercial,4890,1,1,1,Carpet,13,Pitched,Slab,Company D,32044,368077,6
Industrial,1169,1,4,2,Wood,8,Pitched,Basement,Company D,28349,496527,32
Industrial,4543,3,11,2,Carpet,13,Pitched,Crawl Space,Company C,39121,386948,19
Commercial,2804,1,13,3,Wood,10,Pitched,Slab,Company B,22672,206623,16
Industrial,2503,8,6,3,Tile,13,Flat,Slab,Company D,12456,411444,28
Residential,4124,3,1,1,Tile,14,Pitched,Basement,Company C,37732,402407,20
Residential,1240,2,1,4,Tile,11,Pitched,Slab,Company D,14285,394196,33
Industrial,4057,6,9,2,Carpet,9,Pitched,Crawl Space,Company A,27010,179838,25
Commercial,3706,4,5,1,Tile,13,Flat,Slab,Company A,28608,367294,26
Industrial,1026,4,2,4,Wood,14,Gabled,Basement,Company D,20014,159219,31
Residential,3201,2,11,1,Wood,8,Pitched,Slab,Company C,42035,126850,23
Industrial,1824,2,14,4,Carpet,14,Flat,Crawl Space,Company A,44231,114017,9
Industrial,4291,6,2,3,Wood,8,Flat,Crawl Space,Company D,48439,369823,35
Residential,1670,5,4,2,Wood,9,Flat,Slab,Company D,20554,389098,26
Industrial,3999,9,11,3,Tile,12,Gabled,Basement,Company C,40887,175203,9
Industrial,2545,4,2,2,Wood,12,Flat,Crawl Space,Company C,5173,366649,24
Commercial,1243,5,4,4,Tile,14,Pitched,Basement,Company A,31975,109725,34
Commercial,1272,1,11,4,Tile,12,Pitched,Basement,Company D,44897,492531,35
Residential,879,2,13,1,Wood,12,Pitched,Crawl Space,Company A,43658,462595,10
Residential,1039,3,6,4,Wood,10,Gabled,Slab,Company B,21331,396294,7
Residential,1389,5,7,4,Carpet,8,Flat,Basement,Company D,7307,446441,15
Commercial,2160,5,6,1,Carpet,12,Pitched,Slab,Company C,39558,458882,31
Residential,2684,4,4,1,Wood,14,Pitched,Basement,Company B,42515,496479,22
Residential,3116,3,10,2,Tile,14,Pitched,Crawl Space,Company C,13565,291891,16
Residential,1111,9,3,4,Tile,14,Gabled,Basement,Company C,44554,430109,28
Commercial,1876,1,4,1,Carpet,12,Pitched,Slab,Company B,22410,497354,16
Industrial,833,6,12,2,Tile,13,Flat,Slab,Company A,5636,489508,16
Residential,2641,7,5,2,Carpet,14,Flat,Basement,Company B,34944,277500,24
Industrial,1048,4,4,3,Tile,11,Gabled,Basement,Company D,40279,307836,27
Residential,1934,3,3,1,Wood,11,Gabled,Basement,Company A,46932,116493,16
Industrial,1175,8,1,3,Wood,14,Gabled,Crawl Space,Company A,8218,240191,13
Commercial,1523,9,3,2,Tile,8,Flat,Slab,Company D,34989,248309,35
Commercial,2713,1,11,4,Carpet,13,Gabled,Basement,Company D,43391,159180,8
Residential,3292,9,5,1,Wood,9,Gabled,Slab,Company C,8720,333898,14
Industrial,2742,7,13,1,Carpet,12,Flat,Slab,Company B,49727,447893,26
Commercial,4804,1,14,2,Wood,10,Pitched,Slab,Company D,15349,313355,13
Residential,3144,7,6,1,Tile,11,Gabled,Slab,Company B,46872,407270,31
Residential,2131,5,12,2,Wood,12,Pitched,Basement,Company A,37390,122421,23
Commercial,1137,7,14,1,Tile,9,Pitched,Slab,Company D,48620,205000,23
Commercial,2665,9,13,1,Carpet,10,Pitched,Slab,Company A,28670,308697,27
Residential,3937,8,4,4,Wood,11,Pitched,Crawl Space,Company C,5053,408410,16
Industrial,1591,6,1,2,Carpet,13,Gabled,Basement,Company C,23971,112827,7
Industrial,4411,2,10,3,Carpet,9,Gabled,Slab,Company D,8521,455540,27
Industrial,4500,8,13,4,Tile,9,Gabled,Slab,Company D,40071,148694,14
Residential,2316,4,7,2,Carpet,13,Flat,Basement,Company D,35554,124099,36
Commercial,4753,8,13,1,Wood,10,Flat,Basement,Company A,39914,263779,24
Residential,4708,7,9,2,Tile,10,Pitched,Slab,Company D,30294,181322,20
Commercial,3473,4,13,2,Tile,11,Flat,Crawl Space,Company C,7427,228773,13
Industrial,2922,8,6,4,Tile,10,Pitched,Crawl Space,Company D,36970,390514,24
Industrial,4585,2,14,2,Carpet,12,Pitched,Basement,Company D,48950,256978,14
Commercial,858,9,6,1,Wood,10,Gabled,Basement,Company A,38184,232985,10
Commercial,3233,6,9,3,Wood,13,Gabled,Crawl Space,Company B,34163,447786,13
Residential,2862,7,4,3,Wood,9,Flat,Crawl Space,Company C,28066,491857,6
Industrial,2054,1,5,1,Tile,10,Gabled,Crawl Space,Company B,7277,347696,22
Residential,4488,3,5,3,Tile,14,Flat,Crawl Space,Company A,17659,319693,20
Residential,4548,5,14,4,Wood,11,Gabled,Crawl Space,Company D,40749,376561,20
Residential,4930,7,12,2,Carpet,12,Gabled,Basement,Company D,36602,101868,14
Industrial,3829,1,5,2,Tile,10,Flat,Basement,Company C,24459,192938,12
Residential,3646,9,8,3,Wood,12,Pitched,Basement,Company D,14391,372178,26
Residential,1270,5,11,3,Carpet,10,Flat,Basement,Company A,23884,103098,19
Residential,4835,3,1,3,Tile,12,Gabled,Slab,Company B,49943,172975,31
Residential,3699,7,10,4,Tile,14,Pitched,Crawl Space,Company C,49860,433105,6
Residential,2246,8,11,2,Tile,10,Gabled,Crawl Space,Company D,27673,432686,24
Residential,1712,3,10,2,Wood,10,Gabled,Basement,Company D,26752,192429,31
Industrial,2511,7,11,1,Tile,8,Gabled,Crawl Space,Company B,34612,293998,31
Residential,1474,7,3,1,Tile,9,Pitched,Slab,Company B,13977,371869,35
Commercial,2239,4,8,4,Carpet,11,Gabled,Slab,Company D,18191,414065,33
Residential,3534,9,11,2,Wood,11,Flat,Slab,Company D,10268,453049,14
Residential,4430,1,9,2,Carpet,8,Flat,Basement,Company A,27062,398535,31
Industrial,1485,1,2,1,Tile,10,Flat,Crawl Space,Company B,49225,167829,24
Industrial,1926,5,12,1,Wood,9,Pitched,Slab,Company B,48951,404657,18
Commercial,3266,3,4,2,Wood,12,Flat,Slab,Company B,9811,268857,10
Commercial,3197,9,14,4,Tile,8,Gabled,Crawl Space,Company A,14295,493717,19
Industrial,4937,5,8,3,Wood,11,Pitched,Crawl Space,Company B,24544,422669,23
Industrial,4238,7,5,4,Wood,11,Gabled,Slab,Company A,13976,264753,26
